name,longitude,latitude,LSOA11CD,LSOA11NM
Ryder Street Chambers,-0.137828,51.507023,E01004736,Westminster 018C
Travelodge,-0.2318274,51.4098339,E01003443,Merton 010B
,-0.1319799,51.5120917,E01004763,Westminster 013B
Premier Inn,-0.2482135,51.5850388,E01000150,Barnet 036A
,-0.1832832,51.4939056,E01002835,Kensington and Chelsea 016C
,-0.1829612,51.4933296,E01002835,Kensington and Chelsea 016C
Home,-0.1733916,51.4471511,E01004619,Wandsworth 015E
,-0.3301279,51.4497835,E01003897,Richmond upon Thames 014D
,0.0157822,51.5440341,E01003554,Newham 009C
,-0.0044576,51.5363633,E01033578,Newham 013E
Somerset Maugham,-0.1483591,51.5071997,E01004761,Westminster 018D
Bert Ambrose,-0.1435394,51.5082407,E01004761,Westminster 018D
Mayfair's oldest house,-0.1490572,51.5058869,E01004761,Westminster 018D
The Bull and Bush Hotel Kingston,-0.289757,51.408213,E01002969,Kingston upon Thames 005B
The Curtain,-0.0805236,51.5236705,E01033708,Hackney 027G
,-0.2853818,51.5557899,E01033424,Brent 017F
Kirkdale Hotel,-0.0960696,51.3656245,E01001047,Croydon 027D
,-0.0069872,51.5426739,E01033583,Newham 013G
,-0.330109,51.4497638,E01003897,Richmond upon Thames 014D
Hotel Indigo London - 1 Leicester Square,-0.1309494,51.5108051,E01004734,Westminster 018A
"Holiday Inn London - Heathrow Bath Road, an IHG Hotel",-0.4613411,51.4815281,E01002444,Hillingdon 031A
Holiday Inn Express London Heathrow T4,-0.4435692,51.4591224,E01002444,Hillingdon 031A
Crowne Plaza London Heathrow T4,-0.4432661,51.4591141,E01002444,Hillingdon 031A
"Staybridge Suites London - Heathrow Bath Road, an IHG Hotel",-0.4617164,51.4815386,E01002444,Hillingdon 031A
,-0.1588171,51.5015281,E01002818,Kensington and Chelsea 012A
Forest in City Lodge,0.0272619,51.5525872,E01003543,Newham 001A
,0.0423224,51.5083979,E01003513,Newham 035D
,-0.1053863,51.5080743,E01003934,Southwark 002C
Quintin Hogg,-0.1441588,51.5166894,E01004765,Westminster 013D
Piccadilly Circus,-0.1350436,51.510266,E01033595,Westminster 013E
,-0.4591123,51.4813423,E01002447,Hillingdon 031C
Oxford House,-0.1260598,51.5253405,E01000853,Camden 025A
Albany Hotel,-0.1259872,51.5253847,E01000853,Camden 025A
Roma,-0.1263096,51.5252312,E01000853,Camden 025A
St Athans Hotel,-0.1264761,51.5251125,E01000853,Camden 025A
Staff and Goods Entrance,-0.1195153,51.5126549,E01004735,Westminster 018B
Stella Lady Reading,-0.132198,51.4996319,E01004731,Westminster 020A
,0.009073,51.5146057,E01033585,Newham 034J
Westpoint Hotel,-0.1737639,51.5148979,E01004682,Westminster 016B
,-0.1593587,51.5152371,E01004657,Westminster 012A
,-0.1600422,51.5153325,E01004657,Westminster 012A
,-0.1602167,51.5153821,E01004657,Westminster 012A
